,name,price,review,evaluation
0,스시카나에,"60,000원",,
0,스시카나에,"60,000원",,
0,스시카나에,"60,000원",,
0,스시카나에,"60,000원",,
0,스시카나에,"60,000원",,
0,스시카나에,"60,000원",,
0,스시카나에,"60,000원",,
0,스시카나에,"60,000원",,
0,스시카나에,"60,000원","아 잘 합니다.

여윽시 초밥은 가격이 올라가면 올라갈수록 예상을 뛰어넘는 실력을 보여주니까 돈이 아깝다는 생각이 안들죠.",
0,스시카나에,"60,000원","오랜만에 다시 방문한 카나에. 특별한 손님이 오거나 특별한 날이면 누구에게나 추천하는 곳이다.

지난번에 왔을때보다 더 맛있어진 것 같다. 지난번에는 등푸른생선이 살짝 비렸었는데 이번에는 그런게 없었음. 그리고 이곳의 장점은 밥의 양이 적당해서인지 오마카세 끝날때까지 다 먹어도 배가 불러서 죽을 것 같은 느낌까지는 안간다. 뭔가 배부르게 잘~~~먹었다! 이정도? 내가 위가 커진건지는 몰라도...;;;ㅋㅋㅋㅋ

아무튼 전체적으로 만족하는 곳!",맛있다
0,쿠이신보,,,
0,쿠이신보,,,
0,쿠이신보,,,
0,쿠이신보,,,
0,쿠이신보,,,
0,쿠이신보,,,
0,쿠이신보,,,
0,쿠이신보,,,
0,쿠이신보,,,
0,쿠이신보,,"[가로수길]와라야키 쿠이신보

• 쿠이신보의 날씨는 <반짝이는 별밤⭐️>
• 참치 등살 타다키, 닭다리 차슈, 우라가산류 코우카(혼죠조,사케)
• 평일 밤이라 그런지 약간 구석진 자리이긴 했지만 웨이팅없이 바로 들어갈 수 있었습니다! 하지만 걱정된다면 꼭 예약하세요 :)


"" 쿠이신보의 오늘의 날씨는 <반짝이는 별밤⭐️>입니다. ""

맛있는 타다키로 별자리가 시작한다면 시원하고 향긋한 사케로 선을 그리고 달짝지근한 닭다리 차슈로 별자리를 마치는 즐거운 별이 빛나는 밤이 예상됩니다.

알콜주의보를 조심하며 쿠이신보의 항상 별이 빛나는 밤을 기대해보겠습니다


참치 등살 타다키(29.0₩) : 쿠이신보의 자랑 볏짚타다키!

> 참치 등살을 먹을까 뱃살을 먹을까 고민을 했는데 동행한 친구 의견에 따라 등살 타다키를 시켰습니다.
>> 앞에서 짚불로 화르륵하는 걸 보여주셔서 눈을 못떼겠더라구요!

> 첫입을 딱 먹었을 때 훈연향이 확 나서 깜짝 놀랐습니다.
>> 앞에 SOOT은 좀더 은은한 숯향이었다면 여기서는 정말 불향이 확 느껴지더라구요.
>> 식사로 하면 과하다고 느꼈겠지만 술 한 잔 딱 다시 먹어서 깔끔하게 마무리 할 수 있는 좋은 안주였어요☺️

> 와사비와 파, 소금이 같이 나오는데 개인 취향대로 먹으면 됩니다! 저는 와사비랑 파랑 소금이랑 다 같이 해서 먹는게 제일 좋더라구요.

> 약간 아쉬운 점은 사람이 좀 많아서 그런지 메뉴가 나오는데 꽤 오래 걸렸어요 술을 못해서 안주 나오면 먹으려고 기다리고 있었는데 기다리다 못해 2잔 정도할 만큼...의 시간이었습니다!


닭다리 차슈(11.0₩) : 타다키를 다 먹고 술이 약간 남아서 시킨 추가 안주였는데 달짝지근하면서도 삼킬 때 소스의 맛이 깔끔히 떨어져서 좋았습니다.
>> 데리야끼 소스나 간장 소스 같은 걸 먹다보면 삼키고도 소스가 입 안에 맴돌아서 텁텁한 적이 많았는데 깔끔히 떨어지는 느낌이라 맛있게 먹었어요.


우라가산류 코우카(85.0₩) : 메뉴판에 빨간글씨고 작게 무슨 상 받았다고 해서 시킨 술이었는데 정말 예쁜 병에 담긴 맛있는 사케였습니다

> 저는 술을 잘 못하지만 이 술은 처음부터 끝까지 너무 맛있게 마셨습니다. 14도인데 천천히 안주랑 마시다보면 술 잘 못해도 다 마실 수 있겠더라구요!

> 처음에 시원하면서 향긋한 향이 확 입안에 바로 퍼졌다가도 깔끔히 마무리되는데 술을 잘 몰라도 좋은 사케인 것 같았어요. 담에 또 마시고 싶습니다


-좋은 안주와 좋은 술 한 잔하기 좋은 이자카야였습니다. 2명이 술 한 잔하기에 약간 비싸다고 느낄 수도 있겠지만 너무 만족하고 여길 다녀간 거 자체가 좋은 기억이 될 것 같아서 전혀 아깝지 않았습니다!

-사케를 주문하면 잔을 고르라고 잔 바구니를 가져다 주시는데 저는 사실 제일 작은 잔을 골랐어요...ㅎㅎ 예쁜 잔이 정말 많았는데 집에 몇 개 사두고 싶어요.

-일본인 직원분이 계신 걸 앞에서 요리하시는 분이 주문 받는 직원 분을 부를 때 일본어로 부르시는 것 같아서 알게되었습니다. 근데 전혀 불편하진 않아요! 친절하시고 별달리 리뷰할게 없는 좋은 서비스였어요 :)


이상으로 [가로수길] 와라야키 쿠이신보의 밤하늘 예보였습니다⭐️


-instagram-
@eat_cast #맛집기상청 #맛집일기예보",
0,미라이,,,
0,미라이,,,
0,미라이,,,
0,미라이,,,
0,미라이,,,
0,미라이,,,
0,미라이,,,
0,미라이,,,
0,미라이,,"맛, 분위기, 서비스 모두 너무 좋았어요 ☺️",맛있다
0,미라이,,"맛있다, 비릴법한 재료로 신선한 맛을 내는 게 신기하다.
조용한 분위기도 좋고, 자주 올 듯 하다.",맛있다
0,시라카와,,맛 서비스 가격 까지 너무 좋았어요. 근데 가게가 느무 작더라는....,맛있다
0,시라카와,,기대하면 실망하는 덴푸라,괜찮다
0,시라카와,,"2020.09.17 방문

과 언니 소개로 가게된 텐푸라집!
한국에선 일본처럼 만족스러운 깔끔 담백한 텐푸라를 못먹어서 기대가 크지 않았는데,
정말 다 너무 맛있었다.

특히 트러플 포테토사라다와 우니김말이튀김은
다음에 가도 무조건 재주문!!

텐푸라는 전체적으로 아주 깨끗한 기름에 가볍게 튀겨낸 담백한 느낌이어서 너무 좋았다.

사시미, 문어는 생각보다 평범해서
다음에 온다면 튀김류만 집중해서 먹을 듯 하다.

술 선택지도 내추럴와인부터 화요까지 있어서 좋다.
이날은 하이볼만 마셨는데,
언니와 나와 둘다 달지 않게 만들어달라 주문을 넣었는데 딱 맛있고 좋았다.

웬만한 일식집은 맛이 성에 안차거나, 가격이 너무 비싸서 다시 올 생각을 쉽게는 안하는데
여기는 빠른 시일 내에 다시 방문할 것 같다 ☺",맛있다
0,시라카와,,"튀김이 이렇게 느끼하지 않을 수 있다니✨

갑오징어, 새우, 모듬세트 (둘이 가서 하나 시켰더니 반씩 잘라서 주셔서 넘 좋았다), 우엉튀김 고기우동, 새송이버섯, 도미, 버터고구마에 서비스로 키리모찌까지! 맛있는 생맥주와 네츄럴 와인까지 더하니 아주아주 배부르고 완벽한 식사였다

느끼해서 질려서가 아닌 배불러서 튀김을 그만 먹어본적은 처음인 것 같아서 신기했고! 다음에 가면 모듬세트에 있었던 표고버섯, 새우, 키리모찌는 꼭 먹을 것 같다 사실 오늘 시킨거 다 너무 맛있었다

이차로 가서 튀김 몇 조각과 술 먹어도 너무너무 좋을 것 같은 곳 제대로 힐링 완료!",맛있다
